2712,율전초교,경기도 하남시 감이동 533번지,Y,2,10~12,37.299827,126.968735,
2713,선행초교,경기도 하남시 감일동 14-8번지,Y,5,10,37.254384,127.025981,
2714,운학초등학교,경기도 하남시 덕풍동 360-21번지,Y,2,5,37.2026013,127.2463936,
2715,포곡초등학교,경기도 하남시 덕풍동 403번지,Y,2,4,37.2821789,127.2202393,
2716,모현초등학교,경기도 하남시 덕풍동 427번지,Y,1,3,37.3432819,127.2286108,
2717,능원초등학교,경기도 하남시 덕풍동 512-7번지,Y,3,3,37.343476,127.1738455,
2718,어정초등학교,경기도 하남시 덕풍동 678번지,Y,4,3,37.277045,127.1469561,
2719,수지초등학교,경기도 하남시 덕풍동 690번지 케이씨씨아파트,Y,5,3~6,37.3170028,127.0860326,
2720,풍덕초등학교,경기도 하남시 덕풍동 730번지,Y,2,26,37.3298875,127.0955028,
2721,고기초등학교,경기도 하남시 덕풍동 779번지,Y,2,6,37.3588162,127.0661146,
2722,신갈초등학교,경기도 하남시 덕풍동 803번지,Y,3,5,37.273466,127.1065667,
2723,기흥초등학교,경기도 하남시 덕풍동 826번지,Y,3,4,37.2322963,127.109664,
2724,구갈초등학교,경기도 하남시 덕풍동 산46,Y,1,17,37.2775843,127.111863,
2725,남사초등학교,경기도 하남시 망월동 1023번지,Y,2,10,37.1139129,127.1485845,
2726,남곡초등학교,경기도 하남시 망월동 1025번지,Y,1,4~6,37.1404336,127.1670859,
2727,남촌초등학교,경기도 하남시 망월동 1046번지,Y,1,6,37.1014302,127.1376211,
2728,송전초등학교,경기도 하남시 망월동 43-1,Y,3,6,37.1406374,127.1985154,
2729,용천초등학교,경기도 하남시 망월동 899번지,Y,3,12~18,37.1916639,127.2081367,
2730,영화초교,경기도 하남시 망월동 935번지,Y,2,13,37.296861,127.016372,
2731,천천초교,경기도 하남시 망월동 964번지,Y,9,14,37.300584,126.982581,
2732,한일초교,경기도 하남시 선동 424번지,Y,2,20,37.307097,127.005812,
2733,지동초교,경기도 하남시 신장동 216번지,Y,2,11,37.277159,127.024504,
2734,화서초교,경기도 하남시 신장동 422-10번지,Y,16,6~8,37.281198,127.000541,
2735,상촌초교,경기도 하남시 신장동 521-5번지,Y,8,11,37.273208,126.935331,
2736,서호초교,경기도 하남시 신장동 527-4번지,Y,5,6~20,37.266231,126.990332,
2737,세곡초교,경기도 하남시 신장동 529번지,Y,6,5~8,37.255634,127.027721,
2738,오현초교,경기도 하남시 신장동 89-1번지,Y,5,12~24,37.246558,126.968468,
2739,일월초교,경기도 하남시 신장동 90-7번지,Y,5,20,37.284219,126.974393,
2740,자혜학교,경기도 하남시 창우동 518-2번지,Y,1,14,37.265424,126.977412,
2741,영동초교,경기도 하남시 창우동 520-6번지,Y,6,20,37.249899,127.066096,
2742,산남초교,경기도 하남시 천현동 179번지,Y,2,8~12,37.270645,127.050118,
2743,팔곡 초등학교,경기도 하남시 천현동 355-6번지,Y,1,8~12,37.297257,126.882779,
2744,팔곡 초등학교 병설유치원,경기도 하남시 초이동 198-2번지,Y,3,3~6,37.297257,126.882779,
2745,청석 초등학교,경기도 하남시 춘궁동 163-2번지,Y,4,5~8,37.294607,126.818011,
2746,해양 초등학교,경기도 하남시 풍산동 255-1번지,Y,3,5~8,37.294441,126.823954,
2747,초당 초등학교,경기도 하남시 풍산동 483번지,Y,4,8~12,37.285379,126.850861,
2748,근화 어린이집,경기도 하남시 풍산동 508번지,Y,1,3~6,37.282524,126.850487,
2749,광덕 초등학교 병설유치원,경기도 하남시 풍산동 561번지,Y,2,3~6,37.33303,126.843869,
2750,본오유치원,경기도 하남시 하사창동 263-1번지,Y,2,3~6,37.289851,126.863724,
2751,매화 초등학교 병설유치원,경기도 하남시 하산곡동 172-2,Y,3,3~6,37.306016,126.86273,
2752,신성 어린이집,경기도 하남시 하산곡동 431-6번지,Y,3,3~6,37.305758,126.864218,
2753,반월 초등학교 병설유치원,경기도 하남시 학암동 665번지,Y,5,3~6,37.305349,126.90159,
2754,창촌 초등학교,경기도 하남시 학암동 667번지,Y,4,8~12,37.307285,126.904594,
,,하남시,,149,,,,93.04
